Wed Jul 13 16:41:56 2022    output.dat

         3523631 function calls (3518926 primitive calls) in 25.466 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      118    0.000    0.000    0.001    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\numpy\core\fromnumeric.py:601(transpose)
      118    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(transpose)
      118    0.000    0.000    0.000    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\numpy\core\getlimits.py:647(__init__)
      118    0.000    0.000    0.000    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\numpy\core\getlimits.py:671(max)
      118    0.000    0.000    0.000    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\numpy\lib\stride_tricks.py:25(_maybe_view_as_subclass)
      118    0.001    0.000    0.001    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\numpy\lib\stride_tricks.py:339(_broadcast_to)
      118    0.000    0.000    0.000    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\numpy\lib\stride_tricks.py:541(<genexpr>)
      118    0.000    0.000    0.000    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\numpy\lib\function_base.py:346(iterable)
      118    0.000    0.000    0.001    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\tcod\path.py:330(_export)
      118    0.000    0.000    0.000    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\tcod\path.py:1052(_heuristic)
      118    0.000    0.000    0.000    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\tcod\path.py:1182(_update_heuristic)
      118    0.000    0.000    0.000    0.000 {built-in method tcod._libtcod.get_travel_path}
      118    0.000    0.000    0.000    0.000 {method 'transpose' of 'numpy.ndarray' objects}
      118    0.000    0.000    0.000    0.000 {built-in method numpy.asanyarray}
      118    0.000    0.000    0.000    0.000 {built-in method numpy.arange}
      118    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
      101    0.000    0.000    0.000    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\tcod\event.py:988(ev_keyup)
    94/26    0.000    0.000    0.000    0.000 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\level_generator.py:395(getRoom)
       91    0.000    0.000    0.000    0.000 C:\Program Files\Python38\lib\copy.py:199(_deepcopy_list)
    79/78    0.000    0.000    0.001    0.000 C:\Program Files\Python38\lib\copy.py:209(<listcomp>)
    79/78    0.000    0.000    0.002    0.000 C:\Program Files\Python38\lib\copy.py:208(_deepcopy_tuple)
       68    0.000    0.000    0.000    0.000 C:\Program Files\Python38\lib\enum.py:644(__reduce_ex__)
       68    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       63    0.000    0.000    0.000    0.000 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\components\bodyparts.py:47(engine)
       62    0.000    0.000    0.000    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\numpy\core\multiarray.py:1071(copyto)
       62    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(copyto)
       62    0.000    0.000    0.001    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\numpy\core\numeric.py:289(full)
       61    0.000    0.000    0.000    0.000 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\entity.py:69(place)
       61    0.000    0.000    0.000    0.000 {method 'gc' of '_cffi_backend.FFI' objects}
       59    0.000    0.000    0.000    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\numpy\lib\stride_tricks.py:415(_broadcast_shape)
       59    0.000    0.000    0.000    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\numpy\lib\stride_tricks.py:475(_broadcast_arrays_dispatcher)
       59    0.000    0.000    0.000    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\numpy\lib\stride_tricks.py:537(<listcomp>)
       59    0.000    0.000    0.001    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\numpy\lib\stride_tricks.py:545(<listcomp>)
       59    0.000    0.000    0.002    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\numpy\lib\stride_tricks.py:479(broadcast_arrays)
       59    0.000    0.000    0.002    0.000 <__array_function__ internals>:177(broadcast_arrays)
